;id;name;image_path;type;region;country;winery;tastes;year
147364936;147364936;Mathis Bastian Remich Goldberg Auxerrois 2015;Images_saved\img_178.jpg;2;Moselle;Luxembourg;Mathis Bastian;[['tree_fruit', 4, 600], ['tropical_fruit', 2, 200], ['earth', 1, 100]];2015
144036524;144036524;Mathis Bastian Wellenstein Foulschette Pinot Noir 2015;Images_saved\img_179.jpg;1;Moselle;Luxembourg;Mathis Bastian;[['red_fruit', 7, 900], ['tree_fruit', 3, 400], ['spices', 3, 300], ['black_fruit', 2, 22], ['dried_fruit', 2, 378], ['earth', 2, 200], ['floral', 1, 100], ['microbio', 1, 100]];2015
141861383;141861383;Domaines Vinsmoselle Bech-Kleinmacher Naumberg Auxerrois Grand Premier Cru 2015;Images_saved\img_180.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 1, 300], ['citrus_fruit', 1, 100]];2015
143473396;143473396;Domaines Vinsmoselle Vieilles Vignes Riesling Grand Premier Cru 2015;Images_saved\img_181.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['earth', 6, 620], ['tree_fruit', 5, 800], ['citrus_fruit', 5, 500], ['spices', 3, 218], ['non_oak', 3, 73], ['oak', 3, 169], ['tropical_fruit', 2, 300], ['floral', 1, 100], ['vegetal', 1, 10], ['microbio', 1, 10]];2015
142049687;142049687;Domaines Vinsmoselle Lëtzebuerger Musel Rivaner 2016;Images_saved\img_182.jpg;2;Côtes de Grevenmacher;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 8, 900], ['tree_fruit', 6, 900], ['tropical_fruit', 2, 200], ['earth', 2, 200]];2016
20444531;20444531;Domaine Alice Hartmann Clos du Kreizerberg - Grevenmacher Chardonnay 2014;Images_saved\img_183.jpg;2;Moselle;Luxembourg;Domaine Alice Hartmann;[['oak', 15, 2007], ['tree_fruit', 9, 1400], ['non_oak', 9, 154], ['earth', 8, 800], ['microbio', 8, 665], ['spices', 8, 174], ['vegetal', 4, 800], ['floral', 1, 100], ['tropical_fruit', 1, 100], ['citrus_fruit', 1, 100]];2014
8062211;8062211;Desom Remich Primerberg Rivaner Vin Classé 2013;Images_saved\img_184.jpg;2;Moselle;Luxembourg;Desom;[['citrus_fruit', 2, 200], ['red_fruit', 1, 200], ['tree_fruit', 1, 100]];2013
143128306;143128306;Desom Bech Kleinmacher Enschberg Pinot Noir 2016;Images_saved\img_185.jpg;1;Moselle;Luxembourg;Desom;[['red_fruit', 7, 800], ['oak', 7, 1285], ['non_oak', 6, 72], ['spices', 5, 232], ['earth', 3, 111]];2016
6194855;6194855;Caves St Martin Auxerrois Grand Premier Cru 2014;Images_saved\img_186.jpg;2;Côtes de Remich;Luxembourg;Caves St Martin;[['earth', 2, 300], ['tree_fruit', 2, 400], ['red_fruit', 1, 100], ['citrus_fruit', 1, 100], ['spices', 1, 6], ['floral', 1, 100], ['vegetal', 1, 100], ['tropical_fruit', 1, 100], ['microbio', 1, 100], ['non_oak', 1, 9], ['oak', 1, 85]];2014
154440127;154440127;Caves St Martin Pinot Gris Grand Premier Cru 2014;Images_saved\img_187.jpg;2;Côtes de Remich;Luxembourg;Caves St Martin;[['earth', 5, 820], ['citrus_fruit', 4, 500], ['tree_fruit', 3, 400], ['microbio', 2, 43], ['floral', 2, 200], ['oak', 2, 77], ['vegetal', 1, 10], ['tropical_fruit', 1, 100], ['non_oak', 1, 50]];2014
